date,open,high,low,close,volume,dividend,ratio
2018-01-02,0.7247,0.7946,0.6979,0.7826,289712000.0,0.0,1
2018-01-03,0.7797,1.0857,0.7786,1.0797,657398016.0,0.0,1
2018-01-04,1.094,1.3272,1.0376,1.1141,593430016.0,0.0,1
2018-01-05,1.1711,1.2524,0.9035,0.9996,508100000.0,0.0,1
2018-01-08,0.9993,0.9993,0.7643,0.899,264460992.0,0.0,1
2018-01-09,0.8982,0.9194,0.7962,0.8147,209492000.0,0.0,1
2018-01-10,0.8159,0.8163,0.6768,0.7931,236472000.0,0.0,1
2018-01-11,0.7915,0.7915,0.5725,0.6884,229000992.0,0.0,1
2018-01-12,0.6958,0.9323,0.66,0.8975,365795008.0,0.0,1
2018-01-16,0.7806,0.7806,0.4799,0.6265,1632649984.0,0.0,1
2018-01-17,0.6241,0.6785,0.4406,0.6291,1713769984.0,0.0,1
2018-01-18,0.6313,0.711,0.5915,0.6598,1285490048.0,0.0,1
2018-01-19,0.6495,0.6885,0.6159,0.6505,584574016.0,0.0,1
2018-01-22,0.615,0.6315,0.5219,0.5705,522984000.0,0.0,1
2018-01-23,0.5665,0.5922,0.52,0.5631,375958016.0,0.0,1
2018-01-24,0.5634,0.636,0.5448,0.6222,689838016.0,0.0,1
2018-01-25,0.6293,0.683,0.6216,0.6375,654814016.0,0.0,1
2018-01-26,0.6339,0.6528,0.5662,0.6234,810062016.0,0.0,1
2018-01-29,0.6694,0.6694,0.6208,0.6232,238318000.0,0.0,1
2018-01-30,0.6248,0.6248,0.5234,0.5319,359622016.0,0.0,1
2018-01-31,0.5276,0.5503,0.4713,0.5193,505904000.0,0.0,1
2018-02-01,0.5159,0.5353,0.412,0.4217,595624000.0,0.0,1
2018-02-02,0.4195,0.4195,0.2747,0.3905,1438809984.0,0.0,1
2018-02-05,0.385,0.3995,0.3196,0.3274,658547968.0,0.0,1
2018-02-06,0.3312,0.3787,0.2665,0.3698,1338390016.0,0.0,1
2018-02-07,0.3673,0.3772,0.3325,0.3404,679744000.0,0.0,1
2018-02-08,0.3445,0.3675,0.3368,0.3566,346383008.0,0.0,1
2018-02-09,0.3528,0.3941,0.3429,0.3916,401271008.0,0.0,1
2018-02-12,0.3726,0.3933,0.3726,0.3843,243039008.0,0.0,1
2018-02-13,0.3834,0.387,0.3599,0.3733,225695008.0,0.0,1
2018-02-14,0.3738,0.4013,0.3704,0.3969,299008992.0,0.0,1
2018-02-15,0.3947,0.4167,0.3899,0.4094,348342016.0,0.0,1
2018-02-16,0.4101,0.4124,0.3927,0.4038,192420000.0,0.0,1
2018-02-20,0.3909,0.4043,0.3775,0.3788,281249984.0,0.0,1
2018-02-21,0.3756,0.3835,0.3634,0.3644,242378000.0,0.0,1
2018-02-22,0.3627,0.3721,0.3305,0.3379,208342000.0,0.0,1
2018-02-23,0.3348,0.3512,0.3228,0.3453,222508992.0,0.0,1
2018-02-26,0.3453,0.347,0.3222,0.3383,201812992.0,0.0,1
2018-02-27,0.3391,0.3412,0.331,0.3355,106757000.0,0.0,1
2018-02-28,0.3345,0.3362,0.3126,0.3126,114757000.0,0.0,1
2018-03-01,0.312,0.312,0.2884,0.3044,184691008.0,0.0,1
2018-03-02,0.3044,0.3071,0.2889,0.2935,107240000.0,0.0,1
2018-03-05,0.2999,0.3177,0.2911,0.2976,202675008.0,0.0,1
2018-03-06,0.2959,0.303,0.284,0.2854,110305000.0,0.0,1
2018-03-07,0.2847,0.2876,0.2363,0.2473,190792992.0,0.0,1
2018-03-08,0.2482,0.2544,0.2211,0.2217,167808992.0,0.0,1
2018-03-09,0.2213,0.2251,0.1918,0.2222,246848992.0,0.0,1
2018-03-12,0.2241,0.2373,0.2197,0.2237,184250000.0,0.0,1
2018-03-13,0.2231,0.2291,0.2154,0.223,98868704.0,0.0,1
2018-03-14,0.2234,0.2331,0.196,0.1996,144156000.0,0.0,1
2018-03-15,0.1988,0.2016,0.1725,0.1857,204232992.0,0.0,1
2018-03-16,0.1868,0.1868,0.1751,0.1789,97455296.0,0.0,1
2018-03-19,0.1607,0.1976,0.1569,0.1976,321964000.0,0.0,1
2018-03-20,0.1934,0.212,0.1803,0.2049,249683008.0,0.0,1
2018-03-21,0.2053,0.2275,0.2014,0.2132,257686000.0,0.0,1
2018-03-22,0.2154,0.222,0.1921,0.2035,201540000.0,0.0,1
2018-03-23,0.2023,0.2028,0.1814,0.1893,148850000.0,0.0,1
2018-03-26,0.184,0.1854,0.1611,0.1678,117497000.0,0.0,1
2018-03-27,0.1682,0.1692,0.1502,0.1549,107510000.0,0.0,1
2018-03-28,0.1552,0.1656,0.1545,0.1601,60260800.0,0.0,1
2018-03-29,0.1601,0.1606,0.1457,0.1469,103465000.0,0.0,1
2018-04-02,0.1517,0.1588,0.1486,0.1564,102697000.0,0.0,1
2018-04-03,0.1579,0.1734,0.1553,0.1724,155987008.0,0.0,1
2018-04-04,0.1712,0.1792,0.1536,0.1554,154800992.0,0.0,1
2018-04-05,0.1556,0.1562,0.1437,0.1488,113407000.0,0.0,1
2018-04-06,0.1484,0.1505,0.1418,0.1445,51827500.0,0.0,1
2018-04-09,0.1571,0.1657,0.1475,0.1531,93021904.0,0.0,1
2018-04-10,0.1532,0.1578,0.1493,0.1563,55981300.0,0.0,1
2018-04-11,0.1568,0.1664,0.1541,0.166,91793296.0,0.0,1
2018-04-12,0.1668,0.2145,0.1645,0.2122,488007008.0,0.0,1
2018-04-13,0.2116,0.2184,0.1966,0.2005,230412992.0,0.0,1
2018-04-16,0.2219,0.2566,0.2118,0.2566,678780992.0,0.0,1
2018-04-17,0.2551,0.2726,0.2428,0.2437,520975008.0,0.0,1
2018-04-18,0.2427,0.2624,0.2427,0.2603,181118000.0,0.0,1
2018-04-19,0.2675,0.2738,0.2608,0.2724,240910000.0,0.0,1
2018-04-20,0.271,0.3016,0.2697,0.3012,349348992.0,0.0,1
2018-04-23,0.2856,0.2896,0.2836,0.2885,127213000.0,0.0,1
2018-04-24,0.2885,0.3187,0.2873,0.3129,369016992.0,0.0,1
2018-04-25,0.3128,0.3128,0.2652,0.2717,351596000.0,0.0,1
2018-04-26,0.2708,0.295,0.2599,0.2943,220715008.0,0.0,1
2018-04-27,0.2946,0.3075,0.2878,0.2885,197183008.0,0.0,1
2018-04-30,0.3643,0.3643,0.3366,0.3433,298712000.0,0.0,1
2018-05-01,0.343,0.3633,0.3237,0.3587,365521984.0,0.0,1
