date,open,high,low,close,volume,dividend,ratio
2018-01-02,2434.5,2867.1399,2434.5,2711.0,1831229952.0,0.0,1
2018-01-03,2700.55,2958.47,2592.5601,2608.6899,4688840192.0,0.0,1
2018-01-04,2608.8701,2610.2,2359.3,2430.1799,5377260032.0,0.0,1
2018-01-05,2400.74,2648.3201,2370.5901,2584.48,2115709952.0,0.0,1
2018-01-08,2786.6001,2810.3201,2275.0701,2421.47,1428899968.0,0.0,1
2018-01-09,2412.3601,2502.8701,2346.6799,2391.5601,1084749952.0,0.0,1
2018-01-10,2390.02,2961.2,2332.48,2895.3799,2578810112.0,0.0,1
2018-01-11,2891.55,2976.49,2396.8401,2462.6101,1947949952.0,0.0,1
2018-01-12,2475.8999,2648.23,2413.3301,2620.99,1110220032.0,0.0,1
2018-01-16,2406.8601,2406.8601,1555.97,1772.0699,1704029952.0,0.0,1
2018-01-17,1767.58,1875.08,1361.02,1748.05,1457730048.0,0.0,1
2018-01-18,1752.27,1893.47,1696.25,1756.75,1024060032.0,0.0,1
2018-01-19,1740.17,1870.78,1723.87,1769.62,743246976.0,0.0,1
2018-01-22,1794.46,1815.42,1525.5,1621.92,681350016.0,0.0,1
2018-01-23,1623.14,1700.34,1504.72,1621.46,578984000.0,0.0,1
2018-01-24,1622.15,1703.34,1575.42,1639.13,488160992.0,0.0,1
2018-01-25,1661.04,1707.7,1611.04,1642.12,522193984.0,0.0,1
2018-01-26,1637.1899,1678.63,1500.37,1603.9,594667008.0,0.0,1
2018-01-29,1745.36,1763.24,1638.33,1657.14,362212992.0,0.0,1
2018-01-30,1657.6899,1662.0699,1468.17,1470.55,649822976.0,0.0,1
2018-01-31,1470.74,1522.87,1406.25,1486.89,729209024.0,0.0,1
2018-02-01,1491.12,1503.3,1214.88,1274.35,678019968.0,0.0,1
2018-02-02,1272.5,1272.5,980.776,1191.14,896665984.0,0.0,1
2018-02-05,1159.89,1172.7,839.952,887.413,568116992.0,0.0,1
2018-02-06,890.966,978.912,764.018,974.525,777420032.0,0.0,1
2018-02-07,971.076,1040.49,902.493,957.96,866222016.0,0.0,1
2018-02-08,951.567,1345.2,951.567,1284.5601,2203709952.0,0.0,1
2018-02-09,1273.87,1342.41,1206.39,1312.11,1133760000.0,0.0,1
2018-02-12,1222.4301,1302.66,1222.4301,1283.91,466212992.0,0.0,1
2018-02-13,1285.23,1289.42,1205.73,1231.98,442663008.0,0.0,1
2018-02-14,1229.1801,1384.0601,1229.1801,1362.27,629852032.0,0.0,1
2018-02-15,1358.65,1400.71,1330.1801,1375.8101,502454016.0,0.0,1
2018-02-16,1373.16,1558.66,1369.6801,1552.2,961009984.0,0.0,1
2018-02-20,1543.27,1569.03,1414.35,1418.73,820947008.0,0.0,1
2018-02-21,1412.85,1423.9399,1293.47,1308.46,575353984.0,0.0,1
2018-02-22,1304.66,1350.34,1194.05,1219.49,475079008.0,0.0,1
2018-02-23,1217.36,1319.33,1161.42,1270.71,492542016.0,0.0,1
2018-02-26,1177.58,1274.86,1149.4399,1250.5601,460182016.0,0.0,1
2018-02-27,1255.45,1297.6899,1231.99,1246.66,420912000.0,0.0,1
2018-02-28,1243.26,1275.66,1204.16,1204.16,375300992.0,0.0,1
2018-03-01,1204.84,1303.45,1195.03,1291.92,482240000.0,0.0,1
2018-03-02,1284.95,1303.66,1255.37,1275.1801,421497984.0,0.0,1
2018-03-05,1287.1,1291.88,1268.03,1268.03,350078016.0,0.0,1
2018-03-06,1264.1899,1264.1899,1179.85,1206.04,401782016.0,0.0,1
2018-03-07,1205.84,1218.84,1043.7,1092.16,455224992.0,0.0,1
2018-03-08,1094.64,1113.61,1006.86,1040.21,446519008.0,0.0,1
2018-03-09,1034.6899,1071.65,937.967,1067.02,510887008.0,0.0,1
2018-03-12,1143.9399,1152.5601,1022.03,1051.28,425558016.0,0.0,1
2018-03-13,1051.0699,1100.0699,999.752,1064.03,458028000.0,0.0,1
2018-03-14,1071.5,1073.12,924.406,949.467,406616000.0,0.0,1
2018-03-15,949.768,954.411,877.102,943.636,374740992.0,0.0,1
