date,open,high,low,close,volume,dividend,ratio
2018-01-02,772.346,914.83,772.346,884.444,5783349760.0,0.0,1
2018-01-03,886.0,974.471,868.451,962.72,5093159936.0,0.0,1
2018-01-04,961.713,1045.08,946.086,980.922,6502859776.0,0.0,1
2018-01-05,975.75,1075.39,956.325,997.72,6683149824.0,0.0,1
2018-01-08,1158.26,1266.9301,1016.05,1148.53,8450970112.0,0.0,1
2018-01-09,1146.0,1320.98,1145.49,1299.74,7965459968.0,0.0,1
2018-01-10,1300.34,1417.38,1226.6,1255.8199,9214950400.0,0.0,1
2018-01-11,1268.09,1337.3,1135.17,1154.9301,7235899904.0,0.0,1
2018-01-12,1158.29,1296.04,1120.09,1273.2,5222300160.0,0.0,1
2018-01-16,1292.63,1292.63,875.545,1053.6899,8405139968.0,0.0,1
2018-01-17,1061.34,1090.23,780.922,1014.25,8545160192.0,0.0,1
2018-01-18,1016.44,1100.3101,967.759,1036.28,5938319872.0,0.0,1
2018-01-19,1028.8199,1093.22,1003.71,1039.1,4084450048.0,0.0,1
2018-01-22,1055.35,1089.1,930.741,1003.26,3810099968.0,0.0,1
2018-01-23,1004.17,1023.23,920.54,986.229,3556699904.0,0.0,1
2018-01-24,987.477,1062.4399,965.808,1058.78,3944039936.0,0.0,1
2018-01-25,1063.22,1104.66,1034.74,1056.03,4050190080.0,0.0,1
2018-01-26,1052.7,1080.6,996.784,1055.17,3617690112.0,0.0,1
2018-01-29,1246.7,1256.7,1169.08,1182.36,3715079936.0,0.0,1
2018-01-30,1184.13,1184.63,1058.97,1071.13,4107859968.0,0.0,1
2018-01-31,1071.09,1128.66,1034.5,1118.3101,3757560064.0,0.0,1
2018-02-01,1119.37,1161.35,984.819,1036.79,5261680128.0,0.0,1
2018-02-02,1035.77,1035.77,757.98,915.785,6713290240.0,0.0,1
2018-02-05,834.958,856.646,644.599,697.951,4269530112.0,0.0,1
2018-02-06,707.737,796.439,574.419,793.122,6518269952.0,0.0,1
2018-02-07,790.428,851.2,723.433,757.068,3896179968.0,0.0,1
2018-02-08,755.843,845.086,755.843,817.807,3708189952.0,0.0,1
2018-02-09,818.48,884.004,788.834,883.865,2495820032.0,0.0,1
2018-02-12,817.508,875.937,817.508,868.707,2243450112.0,0.0,1
2018-02-13,869.293,870.709,828.837,845.258,2081170048.0,0.0,1
2018-02-14,844.279,926.429,844.279,923.561,2818370048.0,0.0,1
2018-02-15,923.728,951.948,911.111,936.976,2900100096.0,0.0,1
