date,open,high,low,close,volume,dividend,ratio
2018-01-02,2.3695,2.4892,2.2479,2.4809,3171010048.0,0.0,1
2018-01-03,2.4641,3.2794,2.4432,3.1054,6635879936.0,0.0,1
2018-01-04,3.1173,3.8419,3.1173,3.1966,8103660032.0,0.0,1
2018-01-05,3.3008,3.5647,2.8256,3.0487,6288500224.0,0.0,1
2018-01-08,3.3636,3.3636,2.0655,2.4562,3315259904.0,0.0,1
2018-01-09,2.4435,2.529,1.9807,2.1018,3694700032.0,0.0,1
2018-01-10,2.1299,2.1589,1.6952,1.9749,4833639936.0,0.0,1
2018-01-11,1.9802,2.249,1.6153,1.9508,6296119808.0,0.0,1
2018-01-12,1.9405,2.1568,1.8673,2.0432,3330810112.0,0.0,1
2018-01-16,1.6784,1.7014,0.9093,1.1792,5687960064.0,0.0,1
2018-01-17,1.1837,1.3767,0.8978,1.3063,7251210240.0,0.0,1
2018-01-18,1.3056,1.7332,1.256,1.5966,9110439936.0,0.0,1
2018-01-19,1.5822,1.7021,1.5013,1.552,3697430016.0,0.0,1
2018-01-22,1.3916,1.4284,1.1631,1.3573,2642510080.0,0.0,1
2018-01-23,1.3532,1.4347,1.2043,1.3371,2977080064.0,0.0,1
2018-01-24,1.3521,1.425,1.3078,1.3571,1853440000.0,0.0,1
2018-01-25,1.3633,1.3848,1.2929,1.3122,986067968.0,0.0,1
2018-01-26,1.3089,1.326,1.135,1.2173,2037570048.0,0.0,1
2018-01-29,1.3992,1.4052,1.2991,1.324,1073680000.0,0.0,1
2018-01-30,1.3282,1.3282,1.1311,1.1386,1134640000.0,0.0,1
2018-01-31,1.1307,1.1909,1.0366,1.1624,1264029952.0,0.0,1
2018-02-01,1.1609,1.1626,0.9304,0.9625,1410419968.0,0.0,1
2018-02-02,0.9606,0.9606,0.6352,0.8848,3529760000.0,0.0,1
2018-02-05,0.8259,0.8339,0.6758,0.6918,1286179968.0,0.0,1
2018-02-06,0.7051,0.786,0.5884,0.7764,2361139968.0,0.0,1
2018-02-07,0.7746,0.8055,0.707,0.7239,1133369984.0,0.0,1
2018-02-08,0.7293,0.807,0.7226,0.8053,947315008.0,0.0,1
2018-02-09,0.7971,0.9544,0.7715,0.9544,1690339968.0,0.0,1
2018-02-12,1.0065,1.1067,1.0065,1.081,1756290048.0,0.0,1
2018-02-13,1.0797,1.0829,1.0147,1.0274,921100032.0,0.0,1
2018-02-14,1.0261,1.1651,1.0213,1.1416,1457600000.0,0.0,1
2018-02-15,1.1391,1.164,1.1115,1.1469,1188530048.0,0.0,1
2018-02-16,1.1449,1.1518,1.1126,1.138,568339008.0,0.0,1
2018-02-20,1.1445,1.1745,1.0836,1.0895,806673024.0,0.0,1
2018-02-21,1.082,1.0959,0.9989,1.0154,871526016.0,0.0,1
2018-02-22,1.0123,1.0473,0.9225,0.9418,889707008.0,0.0,1
2018-02-23,0.9342,1.0272,0.8983,0.9989,896403968.0,0.0,1
2018-02-26,0.9437,0.9709,0.9134,0.9569,458612992.0,0.0,1
2018-02-27,0.9593,0.9726,0.945,0.9473,312712992.0,0.0,1
2018-02-28,0.9447,0.9556,0.9038,0.9046,329529984.0,0.0,1
2018-03-01,0.9041,0.9538,0.8906,0.9283,475256992.0,0.0,1
2018-03-02,0.9266,0.9339,0.9023,0.9101,271036000.0,0.0,1
2018-03-05,1.0143,1.0802,0.9561,0.9594,1706819968.0,0.0,1
